,brand_class,colour,type,gender,price_pack
0,middle,beige,sweater,men,35.09946534187844
0,middle,beige,sweater,men,34.13399115541429
0,middle,beige,sweater,men,35.50819739375441
0,middle,beige,sweater,men,35.71870761721688
0,middle,beige,sweater,men,35.39413495584606
0,middle,beige,sweater,men,35.250941075037666
0,middle,beige,sweater,men,35.18073613463619
0,middle,beige,sweater,men,34.8753570310857
0,middle,beige,sweater,men,35.15143212274788
0,middle,beige,sweater,men,35.62826463247797
0,middle,beige,sweater,men,35.34647825926362
0,middle,beige,sweater,men,34.46741179387608
0,middle,beige,sweater,men,34.87981805163471
0,middle,beige,sweater,men,35.93422299527839
0,middle,beige,sweater,men,34.42560391000254
0,middle,beige,sweater,men,34.441545282015596
0,middle,beige,sweater,men,35.6085035356981
0,middle,beige,sweater,men,34.888894275222114
0,middle,beige,sweater,men,35.84171105192911
0,middle,beige,sweater,men,35.12078116787916
0,middle,beige,sweater,men,35.26581729036
0,middle,beige,sweater,men,36.17376732897901
0,middle,beige,sweater,men,34.940080535420506
0,middle,beige,sweater,men,35.414705137573094
0,middle,beige,sweater,men,35.06435104282818
0,middle,beige,sweater,men,34.90894386729794
0,middle,beige,sweater,men,34.81267626645974
0,middle,beige,sweater,men,34.787851667373914
0,middle,beige,sweater,men,34.35983027973628
0,middle,beige,sweater,men,35.01177986691406
0,middle,beige,sweater,men,34.36996711144524
0,middle,beige,sweater,men,35.69075945192379
0,middle,beige,sweater,men,35.441130578309306
0,middle,beige,sweater,men,35.81649184238981
0,middle,beige,sweater,men,34.503907674094705
0,middle,beige,sweater,men,35.605461161988835
0,middle,beige,sweater,men,36.05957186363766
0,middle,beige,sweater,men,35.65973390810118
0,middle,beige,sweater,men,35.01772830675859
0,middle,beige,sweater,men,34.88593759058652
0,middle,beige,sweater,men,35.34253582360845
0,middle,beige,sweater,men,35.58039443827846
0,middle,beige,sweater,men,35.05583995734947
0,middle,beige,sweater,men,35.05302995350389
0,middle,beige,sweater,men,35.33316597277869
0,middle,beige,sweater,men,34.35105424033185
0,middle,beige,sweater,men,35.18112542234664
0,middle,beige,sweater,men,35.61707451734115
0,middle,beige,sweater,men,35.638158306868085
0,middle,beige,sweater,men,35.68685961055461
