,brand_class,colour,type,gender,price_pack
0,middle,beige,sweater,men,34.85952868562763
0,middle,beige,sweater,men,35.35033735662013
0,middle,beige,sweater,men,35.26760074595952
0,middle,beige,sweater,men,35.414830269998134
0,middle,beige,sweater,men,34.51970462538222
0,middle,beige,sweater,men,35.249156497646375
0,middle,beige,sweater,men,35.06873170457441
0,middle,beige,sweater,men,35.280060670082
0,middle,beige,sweater,men,34.917788824530156
0,middle,beige,sweater,men,34.79775991369809
0,middle,beige,sweater,men,34.69629886691678
0,middle,beige,sweater,men,35.52759420604877
0,middle,beige,sweater,men,35.24428510808137
0,middle,beige,sweater,men,35.01643030953009
0,middle,beige,sweater,men,35.38006409270356
0,middle,beige,sweater,men,34.96404859635123
0,middle,beige,sweater,men,35.32473789082027
0,middle,beige,sweater,men,35.04763802447167
0,middle,beige,sweater,men,35.175599109810975
0,middle,beige,sweater,men,35.87534507525294
0,middle,beige,sweater,men,35.55706214820062
0,middle,beige,sweater,men,35.21316216695624
0,middle,beige,sweater,men,35.285809309506284
0,middle,beige,sweater,men,35.594171253323815
0,middle,beige,sweater,men,34.91373669121718
0,middle,beige,sweater,men,35.385561797346135
0,middle,beige,sweater,men,35.48215679857302
0,middle,beige,sweater,men,34.904098589390536
0,middle,beige,sweater,men,35.74975392328652
0,middle,beige,sweater,men,34.98439184561352
0,middle,beige,sweater,men,35.47529573389341
0,middle,beige,sweater,men,34.762511699300994
0,middle,beige,sweater,men,35.39244167736576
0,middle,beige,sweater,men,35.64867817457029
0,middle,beige,sweater,men,35.459284459838806
0,middle,beige,sweater,men,35.57301098366142
0,middle,beige,sweater,men,35.079872404244
0,middle,beige,sweater,men,35.25968305082989
0,middle,beige,sweater,men,35.86157580503094
0,middle,beige,sweater,men,35.61215869420336
0,middle,beige,sweater,men,35.14199648643323
0,middle,beige,sweater,men,35.36540527695596
0,middle,beige,sweater,men,35.70250593932234
0,middle,beige,sweater,men,35.20435667090588
0,middle,beige,sweater,men,35.358332336665335
0,middle,beige,sweater,men,34.86436843088334
0,middle,beige,sweater,men,34.78730906255138
0,middle,beige,sweater,men,35.94697846500245
0,middle,beige,sweater,men,35.45586554212909
0,middle,beige,sweater,men,34.73585955057629
0,middle,beige,sweater,men,35.9869514157524
0,middle,beige,sweater,men,35.06122286425273
0,middle,beige,sweater,men,35.01301019927086
0,middle,beige,sweater,men,35.28543410554625
0,middle,beige,sweater,men,34.83736654226356
0,middle,beige,sweater,men,34.75454925696112
0,middle,beige,sweater,men,35.84992183053977
0,middle,beige,sweater,men,35.23607077742843
0,middle,beige,sweater,men,35.62294086100942
0,middle,beige,sweater,men,35.742366806488064
0,middle,beige,sweater,men,35.23963088077922
0,middle,beige,sweater,men,35.3841477701129
0,middle,beige,sweater,men,35.59915868942267
0,middle,beige,sweater,men,34.833639353559064
0,middle,beige,sweater,men,34.43299699223348
0,middle,beige,sweater,men,35.49541182032037
0,middle,beige,sweater,men,35.89579788123814
0,middle,beige,sweater,men,34.976286390503
0,middle,beige,sweater,men,35.62618639670158
0,middle,beige,sweater,men,35.36792507536496
0,middle,beige,sweater,men,34.95085248313105
0,middle,beige,sweater,men,34.648833492910796
0,middle,beige,sweater,men,35.5194841332362
0,middle,beige,sweater,men,35.59884028159432
0,middle,beige,sweater,men,35.480734983828455
0,middle,beige,sweater,men,34.65799233393982
0,middle,beige,sweater,men,34.79888361542628
0,middle,beige,sweater,men,36.355846074624424
0,middle,beige,sweater,men,35.4138820280083
0,middle,beige,sweater,men,34.21536917182859
0,middle,beige,sweater,men,35.03924262170547
0,middle,beige,sweater,men,35.74590531087057
0,middle,beige,sweater,men,35.460882964980165
0,middle,beige,sweater,men,34.72291849604943
0,middle,beige,sweater,men,35.199665933719004
0,middle,beige,sweater,men,35.961199295189495
0,middle,beige,sweater,men,34.83858683519979
0,middle,beige,sweater,men,35.091398766121
0,middle,beige,sweater,men,34.811455696584254
0,middle,beige,sweater,men,35.18613828201991
0,middle,beige,sweater,men,35.044678444221944
0,middle,beige,sweater,men,35.70924183525552
0,middle,beige,sweater,men,35.06134905606399
0,middle,beige,sweater,men,35.97062468501172
0,middle,beige,sweater,men,34.64940523183708
0,middle,beige,sweater,men,34.283513995479865
0,middle,beige,sweater,men,34.92257455192219
0,middle,beige,sweater,men,35.152431293973734
0,middle,beige,sweater,men,35.26310323338874
0,middle,beige,sweater,men,35.020571547618204
0,middle,beige,sweater,men,35.657191480513475
