,brand_class,colour,type,gender,price_pack
0,middle,beige,sweater,men,34.85952868562763
0,middle,beige,sweater,men,35.35033735662013
0,middle,beige,sweater,men,35.26760074595952
0,middle,beige,sweater,men,35.414830269998134
0,middle,beige,sweater,men,34.51970462538222
0,middle,beige,sweater,men,35.249156497646375
0,middle,beige,sweater,men,35.06873170457441
0,middle,beige,sweater,men,35.280060670082
0,middle,beige,sweater,men,34.917788824530156
0,middle,beige,sweater,men,34.79775991369809
0,middle,beige,sweater,men,34.69629886691678
0,middle,beige,sweater,men,35.52759420604877
0,middle,beige,sweater,men,35.24428510808137
0,middle,beige,sweater,men,35.01643030953009
0,middle,beige,sweater,men,35.38006409270356
0,middle,beige,sweater,men,34.96404859635123
0,middle,beige,sweater,men,35.32473789082027
0,middle,beige,sweater,men,35.04763802447167
0,middle,beige,sweater,men,35.175599109810975
0,middle,beige,sweater,men,35.87534507525294
0,middle,beige,sweater,men,35.55706214820062
0,middle,beige,sweater,men,35.21316216695624
0,middle,beige,sweater,men,35.285809309506284
0,middle,beige,sweater,men,35.594171253323815
0,middle,beige,sweater,men,34.91373669121718
0,middle,beige,sweater,men,35.385561797346135
0,middle,beige,sweater,men,35.48215679857302
0,middle,beige,sweater,men,34.904098589390536
0,middle,beige,sweater,men,35.74975392328652
0,middle,beige,sweater,men,34.98439184561352
0,middle,beige,sweater,men,35.47529573389341
0,middle,beige,sweater,men,34.762511699300994
0,middle,beige,sweater,men,35.39244167736576
0,middle,beige,sweater,men,35.64867817457029
0,middle,beige,sweater,men,35.459284459838806
0,middle,beige,sweater,men,35.57301098366142
0,middle,beige,sweater,men,35.079872404244
0,middle,beige,sweater,men,35.25968305082989
0,middle,beige,sweater,men,35.86157580503094
0,middle,beige,sweater,men,35.61215869420336
0,middle,beige,sweater,men,35.14199648643323
0,middle,beige,sweater,men,35.36540527695596
0,middle,beige,sweater,men,35.70250593932234
0,middle,beige,sweater,men,35.20435667090588
0,middle,beige,sweater,men,35.358332336665335
0,middle,beige,sweater,men,34.86436843088334
0,middle,beige,sweater,men,34.78730906255138
0,middle,beige,sweater,men,35.94697846500245
0,middle,beige,sweater,men,35.45586554212909
0,middle,beige,sweater,men,34.73585955057629
0,middle,beige,sweater,men,35.9869514157524
0,middle,beige,sweater,men,35.06122286425273
0,middle,beige,sweater,men,35.01301019927086
0,middle,beige,sweater,men,35.28543410554625
0,middle,beige,sweater,men,34.83736654226356
0,middle,beige,sweater,men,34.75454925696112
0,middle,beige,sweater,men,35.84992183053977
0,middle,beige,sweater,men,35.23607077742843
0,middle,beige,sweater,men,35.62294086100942
0,middle,beige,sweater,men,35.742366806488064
0,middle,beige,sweater,men,35.23963088077922
0,middle,beige,sweater,men,35.3841477701129
0,middle,beige,sweater,men,35.59915868942267
0,middle,beige,sweater,men,34.833639353559064
0,middle,beige,sweater,men,34.43299699223348
0,middle,beige,sweater,men,35.49541182032037
0,middle,beige,sweater,men,35.89579788123814
0,middle,beige,sweater,men,34.976286390503
0,middle,beige,sweater,men,35.62618639670158
0,middle,beige,sweater,men,35.36792507536496
0,middle,beige,sweater,men,34.95085248313105
0,middle,beige,sweater,men,34.648833492910796
0,middle,beige,sweater,men,35.5194841332362
0,middle,beige,sweater,men,35.59884028159432
0,middle,beige,sweater,men,35.480734983828455
0,middle,beige,sweater,men,34.65799233393982
0,middle,beige,sweater,men,34.79888361542628
0,middle,beige,sweater,men,36.355846074624424
0,middle,beige,sweater,men,35.4138820280083
0,middle,beige,sweater,men,34.21536917182859
0,middle,beige,sweater,men,35.03924262170547
0,middle,beige,sweater,men,35.74590531087057
0,middle,beige,sweater,men,35.460882964980165
0,middle,beige,sweater,men,34.72291849604943
0,middle,beige,sweater,men,35.199665933719004
0,middle,beige,sweater,men,35.961199295189495
0,middle,beige,sweater,men,34.83858683519979
0,middle,beige,sweater,men,35.091398766121
0,middle,beige,sweater,men,34.811455696584254
0,middle,beige,sweater,men,35.18613828201991
0,middle,beige,sweater,men,35.044678444221944
0,middle,beige,sweater,men,35.70924183525552
0,middle,beige,sweater,men,35.06134905606399
0,middle,beige,sweater,men,35.97062468501172
0,middle,beige,sweater,men,34.64940523183708
0,middle,beige,sweater,men,34.283513995479865
0,middle,beige,sweater,men,34.92257455192219
0,middle,beige,sweater,men,35.152431293973734
0,middle,beige,sweater,men,35.26310323338874
0,middle,beige,sweater,men,35.020571547618204
0,middle,beige,sweater,men,35.657191480513475
0,middle,beige,sweater,men,34.90789132142064
0,middle,beige,sweater,men,35.303407012714615
0,middle,beige,sweater,men,35.68684469841851
0,middle,beige,sweater,men,34.94085068622194
0,middle,beige,sweater,men,35.61187149501162
0,middle,beige,sweater,men,35.06808346918767
0,middle,beige,sweater,men,35.336571567246125
0,middle,beige,sweater,men,35.26879285325624
0,middle,beige,sweater,men,35.224691704307965
0,middle,beige,sweater,men,35.05615674217503
0,middle,beige,sweater,men,35.7672950067985
0,middle,beige,sweater,men,35.30040937439268
0,middle,beige,sweater,men,35.42569567795469
0,middle,beige,sweater,men,35.264495206058626
0,middle,beige,sweater,men,35.58645361885078
0,middle,beige,sweater,men,34.844107078635524
0,middle,beige,sweater,men,34.39486335470593
0,middle,beige,sweater,men,34.22375432743062
0,middle,beige,sweater,men,34.772392166162994
0,middle,beige,sweater,men,35.55695093548503
0,middle,beige,sweater,men,35.40095509020979
0,middle,beige,sweater,men,35.19388311017683
0,middle,beige,sweater,men,34.34979877829131
0,middle,beige,sweater,men,35.14405358648353
0,middle,beige,sweater,men,35.23514580165754
0,middle,beige,sweater,men,35.08474330160498
0,middle,beige,sweater,men,34.75951014271952
0,middle,beige,sweater,men,35.250961913948004
0,middle,beige,sweater,men,35.795700218866756
0,middle,beige,sweater,men,35.216059688034136
0,middle,beige,sweater,men,34.62760624037023
0,middle,beige,sweater,men,35.069771165868154
0,middle,beige,sweater,men,35.071354941886796
0,middle,beige,sweater,men,34.965917645748675
0,middle,beige,sweater,men,35.79947375673329
0,middle,beige,sweater,men,35.27645297933001
0,middle,beige,sweater,men,36.38979813640592
0,middle,beige,sweater,men,36.07743995505755
0,middle,beige,sweater,men,34.875034913052275
0,middle,beige,sweater,men,35.13291392237311
0,middle,beige,sweater,men,35.32970206578911
0,middle,beige,sweater,men,34.698166038202864
0,middle,beige,sweater,men,35.3698705316859
0,middle,beige,sweater,men,35.76589734074845
0,middle,beige,sweater,men,34.52679335104572
0,middle,beige,sweater,men,35.11407389625382
0,middle,beige,sweater,men,35.87157671306585
0,middle,beige,sweater,men,34.89101896691914
0,middle,beige,sweater,men,34.660378080946636
0,middle,beige,sweater,men,35.44192797399317
0,middle,beige,sweater,men,35.60131094402602
0,middle,beige,sweater,men,35.481424395357436
0,middle,beige,sweater,men,34.9272646810869
0,middle,beige,sweater,men,35.146902136372
0,middle,beige,sweater,men,35.74761068784055
0,middle,beige,sweater,men,35.93769922299352
0,middle,beige,sweater,men,34.93465825402592
0,middle,beige,sweater,men,35.393726612801046
0,middle,beige,sweater,men,34.83907314139476
0,middle,beige,sweater,men,35.84577588780983
0,middle,beige,sweater,men,36.04083664321667
0,middle,beige,sweater,men,34.336218991193995
0,middle,beige,sweater,men,34.528721043499246
0,middle,beige,sweater,men,35.740914237294255
0,middle,beige,sweater,men,35.37522436328268
0,middle,beige,sweater,men,35.27109802895782
0,middle,beige,sweater,men,35.556436790031505
0,middle,beige,sweater,men,35.72942569555527
0,middle,beige,sweater,men,35.26676438470409
0,middle,beige,sweater,men,35.279911681964975
0,middle,beige,sweater,men,35.47009688582557
0,middle,beige,sweater,men,35.16520662692308
0,middle,beige,sweater,men,35.3134161345356
0,middle,beige,sweater,men,35.498783496379836
0,middle,beige,sweater,men,34.991769679966836
0,middle,beige,sweater,men,35.360297166572494
0,middle,beige,sweater,men,34.60646625539393
0,middle,beige,sweater,men,35.49497721161925
0,middle,beige,sweater,men,34.75694614712645
0,middle,beige,sweater,men,35.144477892876246
0,middle,beige,sweater,men,34.18042595021633
0,middle,beige,sweater,men,35.30551483880653
0,middle,beige,sweater,men,35.080715370012676
0,middle,beige,sweater,men,35.79549332983487
0,middle,beige,sweater,men,35.3322434570944
0,middle,beige,sweater,men,35.2032816089076
0,middle,beige,sweater,men,35.36824658852292
0,middle,beige,sweater,men,34.98684928031255
0,middle,beige,sweater,men,34.709129224497104
0,middle,beige,sweater,men,34.82985130859863
0,middle,beige,sweater,men,34.88174220745814
0,middle,beige,sweater,men,34.411634834404744
0,middle,beige,sweater,men,34.79919485619916
0,middle,beige,sweater,men,35.293021429230535
0,middle,beige,sweater,men,34.713891169803524
0,middle,beige,sweater,men,34.8684094776477
0,middle,beige,sweater,men,35.53351963490663
0,middle,beige,sweater,men,35.237401612311174
0,middle,beige,sweater,men,35.51102747212401
0,middle,beige,sweater,men,35.27311977652625
